Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, 101, 1881, 14119, 756, 653.3, 2558.9, 0, 
10, 102, 7920, 17520.1, 718, 333.1, 378.9, 0, 
20, 101, 1881, 16248.6, 792, 675.9, 3763.4, 0, 
20, 102, 7920, 22694.1, 811, 378.6, 654.7, 0, 
30, 101, 1881, 17957.6, 812, 654.8, 4460.2, 0, 
30, 102, 7920, 25708.6, 884, 415.9, 1847.8, 0, 
40, 101, 1881, 18923.3, 822, 666.4, 5094, 0, 
40, 102, 7920, 26805.9, 894, 424.4, 3390.9, 0, 
50, 101, 1881, 19572.2, 818, 640.4, 5491.6, 0, 
50, 102, 7920, 27266.3, 874, 421.6, 4285.7, 0, 
