Year,CalendarYear,EcoregionName,TAP,MAT,BeginGrow,EndGrow,
1, -1, 101, 778.34, 13.22, 77, 325, 
1, -1, 102, 778.34, 13.22, 77, 325, 
2, -1, 101, 778.34, 13.22, 77, 325, 
2, -1, 102, 778.34, 13.22, 77, 325, 
3, -1, 101, 778.34, 13.22, 77, 325, 
3, -1, 102, 778.34, 13.22, 77, 325, 
4, -1, 101, 778.34, 13.22, 77, 325, 
4, -1, 102, 778.34, 13.22, 77, 325, 
5, -1, 101, 778.34, 13.22, 77, 325, 
5, -1, 102, 778.34, 13.22, 77, 325, 
6, -1, 101, 778.34, 13.22, 77, 325, 
6, -1, 102, 778.34, 13.22, 77, 325, 
7, -1, 101, 778.34, 13.22, 77, 325, 
7, -1, 102, 778.34, 13.22, 77, 325, 
8, -1, 101, 778.34, 13.22, 77, 325, 
8, -1, 102, 778.34, 13.22, 77, 325, 
9, -1, 101, 778.34, 13.22, 77, 325, 
9, -1, 102, 778.34, 13.22, 77, 325, 
10, -1, 101, 778.34, 13.22, 77, 325, 
10, -1, 102, 778.34, 13.22, 77, 325, 
11, -1, 101, 778.34, 13.22, 77, 325, 
11, -1, 102, 778.34, 13.22, 77, 325, 
12, -1, 101, 778.34, 13.22, 77, 325, 
12, -1, 102, 778.34, 13.22, 77, 325, 
13, -1, 101, 778.34, 13.22, 77, 325, 
13, -1, 102, 778.34, 13.22, 77, 325, 
14, -1, 101, 778.34, 13.22, 77, 325, 
14, -1, 102, 778.34, 13.22, 77, 325, 
15, -1, 101, 778.34, 13.22, 77, 325, 
15, -1, 102, 778.34, 13.22, 77, 325, 
16, -1, 101, 778.34, 13.22, 77, 325, 
16, -1, 102, 778.34, 13.22, 77, 325, 
17, -1, 101, 778.34, 13.22, 77, 325, 
17, -1, 102, 778.34, 13.22, 77, 325, 
18, -1, 101, 778.34, 13.22, 77, 325, 
18, -1, 102, 778.34, 13.22, 77, 325, 
19, -1, 101, 778.34, 13.22, 77, 325, 
19, -1, 102, 778.34, 13.22, 77, 325, 
20, -1, 101, 778.34, 13.22, 77, 325, 
20, -1, 102, 778.34, 13.22, 77, 325, 
21, -1, 101, 778.34, 13.22, 77, 325, 
21, -1, 102, 778.34, 13.22, 77, 325, 
22, -1, 101, 778.34, 13.22, 77, 325, 
22, -1, 102, 778.34, 13.22, 77, 325, 
23, -1, 101, 778.34, 13.22, 77, 325, 
23, -1, 102, 778.34, 13.22, 77, 325, 
24, -1, 101, 778.34, 13.22, 77, 325, 
24, -1, 102, 778.34, 13.22, 77, 325, 
25, -1, 101, 778.34, 13.22, 77, 325, 
25, -1, 102, 778.34, 13.22, 77, 325, 
26, -1, 101, 778.34, 13.22, 77, 325, 
26, -1, 102, 778.34, 13.22, 77, 325, 
27, -1, 101, 778.34, 13.22, 77, 325, 
27, -1, 102, 778.34, 13.22, 77, 325, 
28, -1, 101, 778.34, 13.22, 77, 325, 
28, -1, 102, 778.34, 13.22, 77, 325, 
29, -1, 101, 778.34, 13.22, 77, 325, 
29, -1, 102, 778.34, 13.22, 77, 325, 
30, -1, 101, 778.34, 13.22, 77, 325, 
30, -1, 102, 778.34, 13.22, 77, 325, 
31, -1, 101, 778.34, 13.22, 77, 325, 
31, -1, 102, 778.34, 13.22, 77, 325, 
32, -1, 101, 778.34, 13.22, 77, 325, 
32, -1, 102, 778.34, 13.22, 77, 325, 
33, -1, 101, 778.34, 13.22, 77, 325, 
33, -1, 102, 778.34, 13.22, 77, 325, 
34, -1, 101, 778.34, 13.22, 77, 325, 
34, -1, 102, 778.34, 13.22, 77, 325, 
35, -1, 101, 778.34, 13.22, 77, 325, 
35, -1, 102, 778.34, 13.22, 77, 325, 
36, -1, 101, 778.34, 13.22, 77, 325, 
36, -1, 102, 778.34, 13.22, 77, 325, 
37, -1, 101, 778.34, 13.22, 77, 325, 
37, -1, 102, 778.34, 13.22, 77, 325, 
38, -1, 101, 778.34, 13.22, 77, 325, 
38, -1, 102, 778.34, 13.22, 77, 325, 
39, -1, 101, 778.34, 13.22, 77, 325, 
39, -1, 102, 778.34, 13.22, 77, 325, 
40, -1, 101, 778.34, 13.22, 77, 325, 
40, -1, 102, 778.34, 13.22, 77, 325, 
41, -1, 101, 778.34, 13.22, 77, 325, 
41, -1, 102, 778.34, 13.22, 77, 325, 
42, -1, 101, 778.34, 13.22, 77, 325, 
42, -1, 102, 778.34, 13.22, 77, 325, 
43, -1, 101, 778.34, 13.22, 77, 325, 
43, -1, 102, 778.34, 13.22, 77, 325, 
44, -1, 101, 778.34, 13.22, 77, 325, 
44, -1, 102, 778.34, 13.22, 77, 325, 
45, -1, 101, 778.34, 13.22, 77, 325, 
45, -1, 102, 778.34, 13.22, 77, 325, 
46, -1, 101, 778.34, 13.22, 77, 325, 
46, -1, 102, 778.34, 13.22, 77, 325, 
47, -1, 101, 778.34, 13.22, 77, 325, 
47, -1, 102, 778.34, 13.22, 77, 325, 
48, -1, 101, 778.34, 13.22, 77, 325, 
48, -1, 102, 778.34, 13.22, 77, 325, 
49, -1, 101, 778.34, 13.22, 77, 325, 
49, -1, 102, 778.34, 13.22, 77, 325, 
50, -1, 101, 778.34, 13.22, 77, 325, 
50, -1, 102, 778.34, 13.22, 77, 325, 
