Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2194,2194,1,1,0,0.0129676,1,0,0,0,0,0.008750117,0,0,0,0,109,202,0,1.413469,2.619456,7,0.0507497,1,0.1839697,3.37,0.8109908,1,0,0,0.02718399,1,False,0.987637,1.714655,0.021,1,137,fTemp,1.555,0.1367343,5,1.714655,0,0,0
2194.08,2194,2,1,0,0.0129676,1,0,0,0,0,0.01589041,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05085566,1,0.1839697,3.37,0.8684404,1,0,0,0.04946981,1,False,0.987637,1.714655,0.021,1,137,fTemp,1.555,0.2113049,5,1.714655,0,0,0
2194.17,2194,3,1,0,0.0129676,1,0,0,0,0,0.02936504,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05096183,1,0.1839697,3.37,0.9199048,1,0,0,0.09160966,1,False,0.987637,1.714655,0.021,1,137,fTemp,1.555,0.3598158,5,1.714655,0,0,0
2194.25,2194,4,1,0,0.0129676,1,0,0,0,0,0.05406639,0,0,0,0,108,200,0,1.400501,2.593521,7,0.05106822,1,0.1815859,3.576,0.943809,1,0,0.2944,0.1690222,1,False,0.987637,1.714655,0.021,1,137,fTemp,1.555,0.6481595,5,1.714655,0,0,0
2194.33,2194,5,1,0,0.01282818,0.01282818,0.0642966,0.0008248086,5.846186,0.5975745,0.1254008,5.248611,0.01682259,0.01634619,6.396672,108,200,0.08205768,1.385444,2.565637,4.839378,0.03465886,1,0.1583831,6.916,0.9535031,1,0.9575632,0.8151,0.3928463,1,True,0.987637,1.714655,0.021,1,137,fTemp,1.555,1.260925,5,1.714655,6.396672,0.1096809,0
2194.42,2194,6,1,0,0.01282818,0.01282818,0.0642966,0.0008248086,6.498754,0.697715,0.1645619,5.801039,0.02121555,0.01440829,6.396672,110,204,0.08205768,1.4111,2.61695,9.408003,0.06607123,1,0.1252355,21.468,0.9491764,1,0.9575632,0.9151734,0.5166035,1,True,0.9875174,1.714655,0.021,1,137,fTemp,1.555,1.879775,5,1.714655,6.396672,0.1096809,0
2194.5,2194,7,1,0,0.01282818,0.01282818,0.06546494,0.0008397964,7.042882,0.9159453,0.2307022,6.126937,0.02846926,0.01163619,6.512299,110,204,0.08354097,1.4111,2.61695,14.87283,0.1046259,1,0.1302313,18.636,0.9590588,1,0.9575632,0.9907359,0.7098085,1,True,0.9875174,1.714655,0.021,1,137,fRad,1.555,2.777458,5,1.714655,6.512299,0.1116635,0
2194.58,2194,8,1,0,0.01282818,0.01282818,0.06546494,0.0008397964,2.498456,0.939357,0.2327428,1.559099,0.01004173,0.01170307,6.512299,109,203,0.08354097,1.398272,2.604121,16.25704,0.1145973,0.3863414,0.08317309,136.16,0.9469162,1,0.9575632,0.9941859,0.7175818,1,True,0.9875174,1.714655,0.021,1,137,Too dry,1.555,3.738677,5,1.714655,6.512299,0.1116635,0
2194.67,2194,9,1,0,0.01282818,0.01282818,0.06546494,0.0008397964,4.878464,0.6198158,0.1283217,4.258648,0.01301719,0.01762797,6.512299,109,203,0.08354097,1.398272,2.604121,20.1742,0.1425005,1,0.1492228,9.01,0.9209262,1,0.9575632,0.8329234,0.3964615,1,True,0.9875174,1.714655,0.021,1,137,fTemp,1.555,4.276122,5,1.714655,6.512299,0.1116635,0
2194.75,2194,10,1,0,0.01282818,0.01282818,0.06546494,0.0008397964,2.889972,0.4412556,0.07530611,2.448717,0.005706176,0.02382238,6.512299,109,202,0.08354097,1.398272,2.591293,22.42062,0.1586919,1,0.1822723,3.516,0.8637072,1,0.9575632,0.5610937,0.2331508,1,True,0.9875174,1.714655,0.021,1,137,fTemp,1.555,4.608165,5,1.714655,6.512299,0.1116635,0
