Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1994,1994,1,1,0,0.01172677,1,0,0,0,0,0.007325108,0,0,0,0,115,196,0,1.348579,2.298447,7,0.0507497,1,0.1839697,3.37,0.8705919,1,0,0,0.02275691,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.127718,5,2,0,0,0
1994.08,1994,2,1,0,0.01172677,1,0,0,0,0,0.01158717,0,0,0,0,115,195,0,1.348579,2.286721,7,0.05085566,1,0.1839697,3.37,0.9495849,1,0,0,0.03607301,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.1784492,5,2,0,0,0
1994.17,1994,3,1,0,0.01172677,1,0,0,0,0,0.0272691,0,0,0,0,114,195,0,1.336852,2.286721,7,0.05096183,1,0.1839697,3.37,0.9733552,1,0,0,0.08507101,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.3034856,5,2,0,0,0
1994.25,1994,4,1,0,0.01172677,1,0,0,0,0,0.06966614,0,0,0,0,114,194,0,1.336852,2.274994,7,0.05106822,1,0.1839697,3.37,0.9877409,1,0,0.3984939,0.2177901,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.614448,5,2,0,0,0
1994.33,1994,5,1,0,0.01161394,0.01161394,0.05814448,0.0006752866,5.772346,0.6037745,0.110375,5.168572,0.01345301,0.01827192,5.787465,114,194,0.06721529,1.323989,2.253105,4.764507,0.03418894,1,0.1793707,3.816,0.9756968,1,0.8968844,0.7177734,0.3457745,1,True,0.987637,2,0.019,1,100,fTemp,1.555,1.016569,5,2,5.787465,0.1157493,0
1994.42,1994,6,1,0,0.01161394,0.01161394,0.05814448,0.0006752866,7.640011,0.9739772,0.2222124,6.666034,0.02478476,0.01312684,5.787465,116,198,0.06721529,1.347217,2.299561,10.11824,0.07119449,1,0.1518749,8.274,0.9738298,1,0.8968844,0.9861001,0.6975838,1,True,0.9875174,2,0.019,1,100,fRad,1.555,1.593378,5,2,5.787465,0.1157493,0
1994.5,1994,7,1,0,0.01161394,0.01161394,0.05920051,0.0006875513,7.756446,1.221501,0.2930795,6.534945,0.02855986,0.01156532,5.89208,116,197,0.06843027,1.347217,2.287946,15.95724,0.1124724,1,0.1589198,7.034,0.9774094,1,0.8968844,0.9918394,0.9017264,1,True,0.9875174,2,0.019,1,100,fRad,1.555,2.384381,5,2,5.89208,0.1178416,0
1994.58,1994,8,1,0,0.01161394,0.01161394,0.05920051,0.0006875513,7.288898,1.006861,0.2123373,6.282037,0.02088444,0.01486244,5.89208,116,197,0.06843027,1.347217,2.287946,21.72905,0.1534681,1,0.1592545,7.314,0.9649693,1,0.8968844,0.9768994,0.6546686,1,True,0.9875174,2,0.019,1,100,fRad,1.555,2.977909,5,2,5.89208,0.1178416,0
1994.67,1994,9,1,0,0.01161394,0.01161394,0.05920051,0.0006875513,5.291357,0.6930001,0.1278878,4.598357,0.012384,0.01819521,5.89208,115,197,0.06843027,1.335603,2.287946,25.95701,0.183705,1,0.1804422,3.688,0.9439276,1,0.8968844,0.8123043,0.3951208,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,3.363763,5,2,5.89208,0.1178416,0
1994.75,1994,10,1,0,0.01161394,0.01161394,0.05920051,0.0006875513,3.224872,0.5036095,0.07751031,2.721263,0.006222123,0.02207115,5.89208,115,196,0.06843027,1.335603,2.276333,28.45253,0.2017791,1,0.1741756,4.342,0.9325326,1,0.8968844,0.5389898,0.2399751,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,3.593194,5,2,5.89208,0.1178416,0
1994.83,1994,11,1,0,0.01161394,0.01161394,0,0,0,0,0.04975111,0,0,0,0,115,196,0,1.335603,2.276333,28.45253,0.206026,1,0.1835808,3.4,0.9109969,1,0,0.1370012,0.154353,1,False,0.9875174,2,0.019,1,100,fTemp,1.555,3.789998,5,2,0,0,0
