Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2158,2158,1,1,0,0.01358848,1,0,0,0,0,0.01294325,0,0,0,0,102,208,0,1.386025,2.826405,7,0.0507497,1,0.1839697,3.37,0.7202178,1,0,0,0.04021078,1,False,0.987637,2.2,0.022,1,175,fTemp,1.555,0.187266,5,2.2,0,0,0
2158.08,2158,2,1,0,0.01358848,1,0,0,0,0,0.02343395,0,0,0,0,102,208,0,1.386025,2.826405,7,0.05085566,1,0.1839697,3.37,0.7879165,1,0,0,0.07295424,1,False,0.987637,2.2,0.022,1,175,fTemp,1.555,0.3614164,5,2.2,0,0,0
2158.17,2158,3,1,0,0.01358848,1,0,0,0,0,0.04320607,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05096183,1,0.1839697,3.37,0.8548791,1,0,0,0.1347893,1,False,0.987637,2.2,0.022,1,175,fTemp,1.555,0.6661413,5,2.2,0,0,0
2158.25,2158,4,1,0,0.01358848,1,0,0,0,0,0.07936186,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05106822,1,0.1815589,3.58,0.8893294,1,0,0.3811555,0.2481008,1,False,0.987637,2.2,0.022,1,175,fTemp,1.555,0.962422,5,2.2,0,0,0
2158.33,2158,5,1,0,0.01347499,1,0.06737493,0.0009078762,8.241003,1.300565,0.183592,6.940438,0.02173007,0.0187378,6.701276,102,206,0.0902996,1.374449,2.775847,6.363568,0.04553073,1,0.1677218,5.182,0.7785543,1,0.9402708,0.9424,0.575143,1,True,0.987637,2.2,0.022,1,175,fRad,1.555,2.080917,5,2.2,6.701276,0.1474281,0
2158.42,2158,6,1,0,0.01347499,1,0.06737493,0.0009078762,8.560782,1.516833,0.2408245,7.043949,0.02567146,0.01647641,6.701276,104,210,0.0902996,1.401399,2.829747,12.03076,0.08441031,1,0.1620193,6.1,0.7686582,1,0.9402708,0.9969749,0.7560119,1,True,0.9875174,2.2,0.022,1,175,fRad,1.555,3.82542,5,2.2,6.701276,0.1474281,0
2158.5,2158,7,1,0,0.0137199,1,0.06859952,0.0009411789,8.234996,1.989457,0.3250204,6.245539,0.0305775,0.01354827,6.822408,103,210,0.09360278,1.41315,2.88118,17.5227,0.1231475,1,0.1768725,4.092,0.7919731,1,0.9402708,0.939484,1,1,True,0.9875174,2.2,0.022,1,175,fRad,1.555,6.19604,5,2.2,6.822408,0.150093,0
2158.58,2158,8,1,0,0.0137199,1,0.06859952,0.0009411789,7.222972,2.040185,0.3243433,5.182787,0.02715116,0.01338289,6.822408,103,210,0.09360278,1.41315,2.88118,22.19987,0.1563369,1,0.1438738,10.586,0.7636554,1,0.9402708,0.9227161,1,1,True,0.9875174,2.2,0.022,1,175,fRad,1.555,8.814453,5,2.2,6.822408,0.150093,0
2158.67,2158,9,1,0,0.0137199,1,0.06859952,0.0009411789,6.463516,1.348534,0.1870582,5.114982,0.01613016,0.02015824,6.822408,103,209,0.09360278,1.41315,2.86746,26.86241,0.1895582,1,0.1815909,3.586,0.712535,1,0.9402708,0.9551972,0.5779333,1,True,0.9875174,2.2,0.022,1,175,fRad,1.555,11.47151,5,2.2,6.822408,0.150093,0
2158.75,2158,10,1,0,0.0137199,1,0.06859952,0.0009411789,3.877891,0.9625372,0.1098542,2.915354,0.00716115,0.02724177,6.822408,103,209,0.09360278,1.41315,2.86746,29.50631,0.2086406,1,0.1823445,3.508,0.6243719,1,0.9402708,0.6975,0.340113,1,True,0.9875174,2.2,0.022,1,175,fRad,1.555,13.46738,5,2.2,6.822408,0.150093,0
