Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2225,2225,1,1,0,0.01291118,1,0,0,0,0,0.0153305,0,0,0,0,96,214,0,1.239473,2.762992,7,0.0507497,1,0.1839697,3.37,0.6619622,1,0,0,0.04762725,1,False,0.987637,2.44,0.023,1,213,fTemp,1.555,0.1486223,5,2.44,0,0,0
2225.08,2225,2,1,0,0.01291118,1,0,0,0,0,0.02773015,0,0,0,0,96,214,0,1.239473,2.762992,7,0.05085566,1,0.1839697,3.37,0.7329958,1,0,0,0.08632909,1,False,0.987637,2.44,0.023,1,213,fTemp,1.555,0.2452547,5,2.44,0,0,0
2225.17,2225,3,1,0,0.01291118,1,0,0,0,0,0.05109652,0,0,0,0,96,213,0,1.239473,2.750081,7,0.05096183,1,0.1839697,3.37,0.8067098,1,0,0,0.159405,1,False,0.987637,2.44,0.023,1,213,fTemp,1.555,0.437021,5,2.44,0,0,0
2225.25,2225,4,1,0,0.01291118,1,0,0,0,0,0.09379819,0,0,0,0,96,213,0,1.239473,2.750081,7,0.05106822,1,0.1820811,3.534,0.8465419,1,0,0.4883051,0.2932317,1,False,0.987637,2.44,0.023,1,213,fTemp,1.555,0.8103746,5,2.44,0,0,0
2225.33,2225,5,1,0,0.01280337,1,0.06401683,0.0008196308,10.04459,1.832154,0.2168893,8.212433,0.02369492,0.01990088,7.005879,95,212,0.08969884,1.21632,2.714314,7.509312,0.05367641,1,0.1538629,7.836,0.7589413,1,0.9311948,0.9863604,0.6794543,1,True,0.987637,2.44,0.023,1,213,fRad,1.555,1.624077,5,2.44,7.005879,0.1709435,0
2225.42,2225,6,1,0,0.01280337,1,0.06401683,0.0008196308,9.888474,2.136343,0.2845123,7.752131,0.0265283,0.01749909,7.005879,97,217,0.08969884,1.241926,2.77833,13.79175,0.09667394,1,0.1160697,28.89,0.7487874,1,0.9311948,0.9895604,0.8931594,1,True,0.9875174,2.44,0.023,1,213,fRad,1.555,2.422718,5,2.44,7.005879,0.1709435,0
2225.5,2225,7,1,0,0.01303601,1,0.06518006,0.0008496881,8.227519,2.801826,0.3250204,5.425694,0.02733069,0.01438913,7.132518,97,216,0.0929796,1.264493,2.815779,18.45631,0.1295834,1,0.1074655,44.794,0.7727553,1,0.9311948,0.8052504,1,1,True,0.9875174,2.44,0.023,1,213,fRad,1.555,3.578684,5,2.44,7.132518,0.1740334,0
2225.58,2225,8,1,0,0.01303601,1,0.06518006,0.0008496881,0.7994753,2.873308,0.3243433,-2.073833,0.002688552,0.01421356,7.132518,97,216,0.0929796,1.264493,2.815779,16.32652,0.1148639,0.11285,0.08172458,147.886,0.7436688,1,0.9311948,0.7733414,1,1,True,0.9875174,2.44,0.023,1,213,Too dry,1.555,4.812423,5,2.44,7.132518,0.1740334,0
2225.67,2225,9,1,0,0.01303601,1,0.06518006,0.0008496881,7.788907,1.899593,0.2206269,5.889315,0.01738951,0.02140944,7.132518,97,215,0.0929796,1.264493,2.802743,21.6706,0.1527729,1,0.119953,29.486,0.6916416,1,0.9311948,0.9926441,0.6816466,1,True,0.9875174,2.44,0.023,1,213,fRad,1.555,5.497235,5,2.44,7.132518,0.1740334,0
2225.75,2225,10,1,0,0.01303601,1,0.06518006,0.0008496881,5.0802,1.356753,0.1295581,3.723446,0.008392838,0.02893265,7.132518,97,215,0.0929796,1.264493,2.802743,25.03844,0.1768757,1,0.180923,3.644,0.6030904,1,0.9311948,0.7918775,0.401117,1,True,0.9875174,2.44,0.023,1,213,fRad,1.555,5.921649,5,2.44,7.132518,0.1740334,0
