Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2246,2246,1,1,0,0.01172677,1,0,0,0,0,0.008814875,0,0,0,0,116,194,0,1.360306,2.274994,7,0.0507497,1,0.1839697,3.37,0.9017689,1,0,0,0.02738517,1,False,0.987637,2.20119,0.019,1,100,fTemp,1.555,0.1545952,5,2.20119,0,0,0
2246.08,2246,2,1,0,0.01172677,1,0,0,0,0,0.01600688,0,0,0,0,116,194,0,1.360306,2.274994,7,0.05085566,1,0.1839697,3.37,0.940698,1,0,0,0.04983238,1,False,0.987637,2.20119,0.019,1,100,fTemp,1.555,0.2641897,5,2.20119,0,0,0
2246.17,2246,3,1,0,0.01172677,1,0,0,0,0,0.02957854,0,0,0,0,116,193,0,1.360306,2.263267,7,0.05096183,1,0.1839697,3.37,0.970291,1,0,0,0.09227574,1,False,0.987637,2.20119,0.019,1,100,fTemp,1.555,0.471008,5,2.20119,0,0,0
2246.25,2246,4,1,0,0.01172677,1,0,0,0,0,0.0544562,0,0,0,0,116,193,0,1.360306,2.263267,7,0.05106822,1,0.1819889,3.542,0.9818668,1,0,0.2813781,0.1702408,1,False,0.987637,2.20119,0.019,1,100,fTemp,1.555,0.7962195,5,2.20119,0,0,0
2246.33,2246,5,1,0,0.0116289,1,0.05814448,0.0006761562,6.779298,0.7766041,0.1262956,6.002694,0.01542196,0.01874368,5.787465,115,192,0.06730183,1.337323,2.232748,5.528143,0.0396686,1,0.1505686,8.588,0.858129,1,0.9402267,0.8138319,0.3956493,1,True,0.987637,2.20119,0.019,1,100,fTemp,1.555,1.663287,5,2.20119,5.787465,0.1273931,0
2246.42,2246,6,1,0,0.0116289,1,0.05814448,0.0006761562,7.512193,0.9067185,0.1657334,6.605474,0.01943481,0.01648149,5.787465,118,196,0.06730183,1.37221,2.279264,10.83026,0.07620446,1,0.1230428,22.268,0.8498628,1,0.9402267,0.9155464,0.5202811,1,True,0.9875174,2.20119,0.019,1,100,fRad,1.555,2.611515,5,2.20119,5.787465,0.1273931,0
2246.5,2246,7,1,0,0.0118401,1,0.05920051,0.0007009401,8.242684,1.190285,0.2323354,7.052399,0.02640486,0.01355226,5.89208,118,196,0.06976283,1.397132,2.32066,17.15268,0.1208983,1,0.1011188,60.102,0.869174,1,0.9402267,0.9914179,0.7148333,1,True,0.9875174,2.20119,0.019,1,100,fRad,1.555,3.924518,5,2.20119,5.89208,0.1296958,0
2246.58,2246,8,1,0,0.0118401,1,0.05920051,0.0007009401,3.323169,1.220706,0.2343801,2.102464,0.01077694,0.01338701,5.89208,117,195,0.06976283,1.385292,2.30882,19.02252,0.1343524,0.4462439,0.08382198,132.146,0.8456548,1,0.9402267,0.9947676,0.7226297,1,True,0.9875174,2.20119,0.019,1,100,Too dry,1.555,5.340741,5,2.20119,5.89208,0.1296958,0
2246.67,2246,9,1,0,0.0118401,1,0.05920051,0.0007009401,5.470259,0.8055017,0.1292256,4.664758,0.01177738,0.02016444,5.89208,117,195,0.06976283,1.385292,2.30882,23.30436,0.1649315,1,0.1334818,16.776,0.8010917,1,0.9402267,0.8319833,0.3992542,1,True,0.9875174,2.20119,0.019,1,100,fRad,1.555,6.191216,5,2.20119,5.89208,0.1296958,0
2246.75,2246,10,1,0,0.0118401,1,0.05920051,0.0007009401,3.066562,0.5734863,0.07583872,2.493076,0.004885507,0.02725016,5.89208,117,195,0.06976283,1.385292,2.30882,25.58278,0.1814274,1,0.1796439,3.764,0.718717,1,0.9402267,0.5544268,0.2347998,1,True,0.9875174,2.20119,0.019,1,100,fTemp,1.555,6.730879,5,2.20119,5.89208,0.1296958,0
2246.83,2246,11,1,0,0.0118401,1,0,0,0,0,0.04393352,0,0,0,0,117,194,0,1.385292,2.29698,25.58278,0.185246,1,0.1834273,3.41,0.9129563,1,0,0.1417906,0.1363039,1,False,0.9875174,2.20119,0.019,1,100,fTemp,1.555,7.075888,5,2.20119,0,0,0
2246.92,2246,12,2,0,0.0118401,1,0,0,0,0,0.019846,0,0,0,0,116,194,0,1.373452,2.29698,25.58278,0.1856327,1,0.1839697,3.37,0.8581629,1,0,0,0.06170081,1,False,0.9875174,2.20119,0.019,1,100,fTemp,1.555,7.191617,5,2.20119,0,0,0
2247,2247,1,2,0,0.0118401,1,0,0,0,0,0.008790056,0,0,0,0,116,193,0,1.373452,2.28514,6.890697,0.05010439,1,0.1839697,3.37,0.9017902,1,0,0,0.02738517,1,False,0.9875174,1.854577,0.019,1,100,fTemp,2.618465,7.128717,5,1.854577,0,0,1.205475
2247.08,2247,2,2,0,0.0118401,1,0,0,0,0,0.01596181,0,0,0,0,116,193,0,1.373452,2.28514,6.890697,0.05020899,1,0.1839697,3.37,0.9407136,1,0,0,0.04983238,1,False,0.9875174,1.854577,0.019,1,100,fTemp,2.618465,7.2186,5,1.854577,0,0,1.205475
2247.17,2247,3,2,0,0.0118401,1,0,0,0,0,0.02949527,0,0,0,0,116,193,0,1.373452,2.28514,6.890697,0.05031381,1,0.1839697,3.37,0.9703007,1,0,0,0.09227574,1,False,0.9875174,1.854577,0.019,1,100,fTemp,2.618465,7.387408,5,1.854577,0,0,1.205475
2247.25,2247,4,2,0,0.0118401,1,0,0,0,0,0.05430288,0,0,0,0,115,192,0,1.361612,2.2733,6.890697,0.05041885,1,0.1815385,3.58,0.9818736,1,0,0.2813781,0.1702408,1,False,0.9875174,1.854577,0.019,1,100,fTemp,2.618465,7.644886,5,1.854577,0,0,1.205475
