Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2016,2016,1,1,0,0.01433391,1,0,0,0,0,0.02489689,0,0,0,0,115,196,0,1.648399,2.809446,7,0.0507497,1,0.1832114,3.434,0.9230535,1,0,0,0.07734714,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.167788,5,1.2,0,0,0
2016.08,2016,2,1,0,0.01433391,1,0,0,0,0,0.03015161,0,0,0,0,115,195,0,1.648399,2.795112,7,0.05085566,1,0.1839697,3.37,0.9440609,1,0,0,0.09386757,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.2596937,5,1.2,0,0,0
2016.17,2016,3,1,0,0.01433391,1,0,0,0,0,0.0641893,0,0,0,0,114,195,0,1.634065,2.795112,7,0.05096183,1,0.1839697,3.37,0.9706399,1,0,0.1420443,0.2002504,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.4767569,5,1.2,0,0,0
2016.25,2016,4,1,0,0.01433391,1,0,0,0,0,0.08868589,0,0,0,0,114,194,0,1.634065,2.780778,7,0.05106822,1,0.1813969,3.59,0.9930559,1,0,0.4720252,0.2772496,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.7716399,5,1.2,0,0,0
2016.33,2016,5,1,0,0.01421483,1,0.07107414,0.001010307,6.195029,0.8721714,0.1876198,5.322857,0.02069632,0.01560139,14.92557,114,194,0.2121644,1.62049,2.757676,4.889205,0.03409026,1,0.1721432,4.634,0.9078358,1,0.9629405,0.9436364,0.5877612,1,True,0.987637,1.2,0.049,1,100,fRad,1.555,1.423821,5,1.2,14.92557,0.1791068,0
2016.42,2016,6,1,0,0.01421483,1,0.07107414,0.001010307,6.455253,1.169465,0.299562,5.285788,0.03056995,0.01100605,14.92557,116,198,0.2121644,1.64892,2.814536,8.945624,0.06119515,1,0.1375898,13.472,0.9472812,1,0.9629405,0.974121,0.9404045,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,2.166306,5,1.2,14.92557,0.1791068,0
2016.5,2016,7,1,0,0.01447177,1,0.07235888,0.001047161,4.947523,1.494476,0.3250204,3.453047,0.02880268,0.009114821,15.19536,116,197,0.2199039,1.678726,2.85094,11.65777,0.07984168,0.9934286,0.08809908,105.268,0.9260306,1,0.9629405,0.7795085,1,1,True,0.9875174,1.2,0.049,1,100,fTemp,1.555,3.204771,5,1.2,15.19536,0.1823444,0
2016.58,2016,8,1,0,0.01447177,1,0.07235888,0.001047161,4.434485,1.4869,0.3243433,2.947585,0.02376446,0.00990167,15.19536,116,197,0.2199039,1.678726,2.85094,14.29494,0.09809804,0.9077619,0.09473898,83.164,0.9260306,1,0.9629405,0.8109641,1,1,True,0.9875174,1.2,0.049,1,100,fTemp,1.555,4.261792,5,1.2,15.19536,0.1823444,0
2016.67,2016,9,1,0,0.01447177,1,0.07235888,0.001047161,5.29222,1.112392,0.2533723,4.179829,0.02141079,0.01311591,15.19536,115,197,0.2199039,1.664254,2.85094,18.10431,0.1244869,1,0.1216972,23.932,0.8970276,1,0.9629405,0.9987901,0.7828165,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,4.987993,5,1.2,15.19536,0.1823444,0
2016.75,2016,10,1,0,0.01447177,1,0.07235888,0.001047161,3.641288,0.7068973,0.1268305,2.934391,0.009613628,0.02009838,15.19536,115,196,0.2199039,1.664254,2.836468,20.78382,0.1431959,1,0.1411162,12.748,0.82996,1,0.9629405,0.7813259,0.3926723,1,True,0.9875174,1.2,0.049,1,100,fTemp,1.555,5.368258,5,1.2,15.19536,0.1823444,0
