Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2026,2026,1,1,0,0.01971507,1,0,0,0,0,0.01145358,0,0,0,0,102,208,0,2.010937,4.100735,7,0.0507497,1,0.1839697,3.37,0.8127734,1,0,0,0.03558283,1,False,0.987637,1.5,0.069,1,175,fTemp,1.555,0.1512274,5,1.5,0,0,0
2026.08,2026,2,1,0,0.01971507,1,0,0,0,0,0.02075354,0,0,0,0,102,208,0,2.010937,4.100735,7,0.05085566,1,0.1839697,3.37,0.8699496,1,0,0,0.06460961,1,False,0.987637,1.5,0.069,1,175,fTemp,1.555,0.2507905,5,1.5,0,0,0
2026.17,2026,3,1,0,0.01971507,1,0,0,0,0,0.03828567,0,0,0,0,102,207,0,2.010937,4.08102,7,0.05096183,1,0.1839697,3.37,0.9210467,1,0,0,0.1194392,1,False,0.987637,1.5,0.069,1,175,fTemp,1.555,0.4394929,5,1.5,0,0,0
2026.25,2026,4,1,0,0.01971507,1,0,0,0,0,0.07036463,0,0,0,0,102,207,0,2.010937,4.08102,7,0.05106822,1,0.1825664,3.492,0.9447217,1,0,0.3732639,0.2199738,1,False,0.987637,1.5,0.069,1,175,fTemp,1.555,0.7737163,5,1.5,0,0,0
2026.33,2026,5,1,0,0.01447028,1,0.07235143,0.001046946,6.72739,0.9210911,0.1628682,5.8063,0.03142603,0.0113581,15.55556,102,206,0.2250933,1.475969,2.980879,5.335382,0.03712877,1,0.1562494,7.232,0.8275157,1,0.9647916,0.9078444,0.5102211,1,True,0.987637,1.5,0.069,1,175,fRad,1.555,1.54002,5,1.5,15.55556,0.2333333,0
2026.42,2026,6,1,0,0.01447028,1,0.07235143,0.001046946,7.150194,1.074521,0.21365,6.075672,0.028115,0.01349361,15.55556,104,210,0.2250933,1.50491,3.03876,10.13304,0.06918551,1,0.1317039,16.192,0.8184971,1,0.9647916,0.9808475,0.6707041,1,True,0.9875174,1.5,0.069,1,175,fRad,1.555,2.328726,5,1.5,15.55556,0.2333333,0
2026.5,2026,7,1,0,0.0199047,1,0.0995235,0.001980985,9.845662,1.904483,0.2991957,7.941179,0.04793654,0.01499013,21.39755,103,210,0.4259118,2.050184,4.179987,8.841103,0.0594291,1,0.1081683,46.726,0.8381115,1,0.9647916,0.9853218,0.9205445,1,True,0.9875174,1.5,0.069,1,175,fRad,1.555,3.439152,5,1.5,21.39755,0.3209633,0
2026.58,2026,8,1,0,0.0199047,1,0.0995235,0.001980985,6.616682,1.953049,0.3013963,4.663632,0.04406073,0.01096013,21.39755,103,210,0.4259118,2.050184,4.179987,13.04157,0.08783554,0.755,0.08461034,126.294,0.8122891,1,0.9647916,0.9769194,0.929251,1,True,0.9875174,1.5,0.069,1,175,Too dry,1.555,4.637182,5,1.5,21.39755,0.3209633,0
2026.67,2026,9,1,0,0.0199047,1,0.0995235,0.001980985,7.214559,1.290515,0.1661514,5.924044,0.03189471,0.0165089,21.39755,103,209,0.4259118,2.050184,4.160082,18.46059,0.1245758,1,0.1413796,13.75,0.7644383,1,0.9647916,0.9225638,0.5133396,1,True,0.9875174,1.5,0.069,1,175,fRad,1.555,5.375578,5,1.5,21.39755,0.3209633,0
2026.75,2026,10,1,0,0.0199047,1,0.0995235,0.001980985,4.317794,0.9205459,0.09756915,3.397248,0.01412498,0.02231007,21.39755,103,209,0.4259118,2.050184,4.160082,21.55559,0.1457457,1,0.1821472,3.526,0.6787617,1,0.9647916,0.6631857,0.302078,1,True,0.9875174,1.5,0.069,1,175,fTemp,1.555,5.851351,5,1.5,21.39755,0.3209633,0
2026.83,2026,11,1,0,0.0199047,1,0.04976175,0.0009904926,0,0,0.05657738,0,0,0,10.69878,103,208,0.2129559,2.050184,4.140177,21.55559,0.1508904,1,0.183367,3.42,0.8253703,1,0,0.2186703,0.1755315,1,False,0.9875174,1.5,0.069,1,175,fTemp,1.555,6.160012,5,1.5,10.69878,0.1604816,0
2026.92,2026,12,2,0,0.0199047,1,0.04976175,0.0009904926,0,0,0.02564903,0,0,0,10.69878,102,208,0.2129559,2.030279,4.140177,21.55559,0.1511949,1,0.1839697,3.37,0.752435,1,0,0,0.07974233,1,False,0.9875174,1.5,0.069,1,175,fTemp,1.555,6.261383,5,1.5,10.69878,0.1604816,0
2027,2027,1,2,0,0.0199047,1,0.04976175,0.0009904926,0,0,0.01142133,0,0,0,10.69878,102,207,0.2129559,2.030279,4.120273,6.890697,0.04843014,1,0.1839697,3.37,0.8096359,1,0,0,0.03558283,1,False,0.9875174,1.407233,0.069,1,175,fTemp,9.509162,6.017745,5,1.407233,10.69878,0.1505567,1.178897
2027.08,2027,2,2,0,0.0199047,1,0.04976175,0.0009904926,0,0,0.0206951,0,0,0,10.69878,102,207,0.2129559,2.030279,4.120273,6.890697,0.04852786,1,0.1839697,3.37,0.8672891,1,0,0,0.06460961,1,False,0.9875174,1.407233,0.069,1,175,fTemp,9.509162,6.102278,5,1.407233,10.69878,0.1505567,1.178897
2027.17,2027,3,2,0,0.0199047,1,0.04976175,0.0009904926,0,0,0.03817787,0,0,0,10.69878,102,206,0.2129559,2.030279,4.100368,6.890697,0.04862577,1,0.1839697,3.37,0.9190288,1,0,0,0.1194392,1,False,0.9875174,1.407233,0.069,1,175,fTemp,9.509162,6.262439,5,1.407233,10.69878,0.1505567,1.178897
2027.25,2027,4,2,0,0.0199047,1,0.04976175,0.0009904926,0,0,0.07016651,0,0,0,10.69878,101,206,0.2129559,2.010375,4.100368,6.890697,0.04872387,1,0.182201,3.522,0.9431062,1,0,0.3732639,0.2199738,1,False,0.9875174,1.407233,0.069,1,175,fTemp,9.509162,6.544566,5,1.407233,10.69878,0.1505567,1.178897
2027.33,2027,5,2,0,0.01949389,1,0.09746945,0.001900059,8.590775,1.178667,0.1624096,7.412107,0.0417393,0.0147115,20.95593,101,206,0.4085126,1.968883,4.015741,6.810753,0.04674607,1,0.1576155,6.952,0.825797,1,0.9678406,0.9078444,0.5102211,1,True,0.9875174,1.407233,0.069,1,175,fRad,9.509162,7.287742,5,1.407233,20.95593,0.2948987,1.178897
2027.42,2027,6,2,0,0.01949389,1,0.09746945,0.001900059,9.13007,1.375004,0.2130486,7.755066,0.04982284,0.01309832,20.95593,112,227,0.4085126,2.183316,4.425113,10.26049,0.06424608,1,0.1259366,19.678,0.8167418,1,0.9678406,0.9808475,0.6707041,1,True,0.9865398,1.407233,0.069,1,175,fRad,9.509162,8.004782,5,1.407233,20.95593,0.2948987,1.178897
2027.5,2027,7,2,0,0.02145281,1,0.1072641,0.002301116,10.07187,1.949723,0.3227856,8.122143,0.06805591,0.01164125,23.06177,112,227,0.4947398,2.402715,4.869788,14.59781,0.09104986,1,0.1098949,45.594,0.8374732,1,0.9678406,0.9853218,0.9205445,1,True,0.9865398,1.407233,0.069,1,175,fRad,9.509162,9.071747,5,1.407233,23.06177,0.3245329,1.178897
2027.58,2027,8,2,0,0.02145281,1,0.1072641,0.002301116,5.160881,1.999444,0.3251596,3.161437,0.03815721,0.01063905,23.06177,111,226,0.4947398,2.381262,4.848335,17.39799,0.1087273,0.5742857,0.08568356,123.186,0.8116099,1,0.9678406,0.9769194,0.929251,1,True,0.9865398,1.407233,0.069,1,175,Too dry,9.509162,10.23642,5,1.407233,23.06177,0.3245329,1.178897
2027.67,2027,9,2,0,0.02145281,1,0.1072641,0.002301116,7.378835,1.321171,0.1792514,6.057663,0.03621912,0.01602527,23.06177,111,226,0.4947398,2.381262,4.848335,22.93913,0.1436363,1,0.1322539,24.034,0.763703,1,0.9678406,0.9225638,0.5133396,1,True,0.9865398,1.407233,0.069,1,175,fRad,9.509162,10.95939,5,1.407233,23.06177,0.3245329,1.178897
2027.75,2027,10,2,0,0.02145281,1,0.1072641,0.002301116,4.415247,0.9424133,0.1052619,3.472834,0.01603697,0.02165649,23.06177,111,225,0.4947398,2.381262,4.826882,26.1029,0.1637659,1,0.1755478,4.288,0.6779763,1,0.9678406,0.6631857,0.302078,1,True,0.9865398,1.407233,0.069,1,175,fTemp,9.509162,11.36124,5,1.407233,23.06177,0.3245329,1.178897
2027.83,2027,11,2,0,0.02145281,1,0.05363203,0.001150558,0,0,0.06103817,0,0,0,11.53089,111,225,0.2473699,2.381262,4.826882,26.1029,0.1695415,1,0.1836131,3.4,0.8251334,1,0,0.2186703,0.1755315,1,False,0.9865398,1.407233,0.069,1,175,fTemp,9.509162,11.64095,5,1.407233,11.53089,0.1622664,1.178897
2027.92,2027,12,3,0,0.02145281,1,0.05363203,0.001150558,0,0,0.0276713,0,0,0,11.53089,110,224,0.2473699,2.359809,4.805429,26.1029,0.1698837,1,0.1839697,3.37,0.7521669,1,0,0,0.07974233,1,False,0.9865398,1.407233,0.069,1,175,fTemp,9.509162,11.72849,5,1.407233,11.53089,0.1622664,1.178897
2028,2028,1,3,0,0.02145281,1,0.05363203,0.001150558,0,0,0.01232184,0,0,0,11.53089,110,224,0.2473699,2.359809,4.805429,7.42663,0.04843175,1,0.1839697,3.37,0.8093906,1,0,0,0.03558283,1,False,0.9865398,1.495706,0.069,1,175,fTemp,10.24875,11.41319,5,1.495706,11.53089,0.1724682,1.3351
2028.08,2028,2,3,0,0.02145281,1,0.05363203,0.001150558,0,0,0.02232679,0,0,0,11.53089,110,223,0.2473699,2.359809,4.783977,7.42663,0.04852947,1,0.1839697,3.37,0.8670804,1,0,0,0.06460961,1,False,0.9865398,1.495706,0.069,1,175,fTemp,10.24875,11.48167,5,1.495706,11.53089,0.1724682,1.3351
2028.17,2028,3,3,0,0.02145281,1,0.05363203,0.001150558,0,0,0.04125817,0,0,0,11.53089,110,223,0.2473699,2.359809,4.783977,7.42663,0.04862739,1,0.1839697,3.37,0.91887,1,0,0,0.1196428,1,False,0.9865398,1.495706,0.069,1,175,fTemp,10.24875,11.61061,5,1.495706,11.53089,0.1724682,1.3351
