Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2047,2047,1,1,0,0.01483117,1,0,0,0,0,0.01349378,0,0,0,0,90,220,0,1.334805,3.262857,7,0.0507497,1,0.1839697,3.37,0.6905024,1,0,0,0.04192111,1,False,0.987637,2.7,0.03,1,250,fTemp,1.555,0.1484336,5,2.7,0,0,0
2047.08,2047,2,1,0,0.01483117,1,0,0,0,0,0.02442464,0,0,0,0,90,220,0,1.334805,3.262857,7,0.05085566,1,0.1839697,3.37,0.760184,1,0,0,0.07603843,1,False,0.987637,2.7,0.03,1,250,fTemp,1.555,0.2495009,5,2.7,0,0,0
2047.17,2047,3,1,0,0.01483117,1,0,0,0,0,0.04502517,0,0,0,0,90,219,0,1.334805,3.248026,7,0.05096183,1,0.1839697,3.37,0.830894,1,0,0,0.1404643,1,False,0.987637,2.7,0.03,1,250,fTemp,1.555,0.438084,5,2.7,0,0,0
2047.25,2047,4,1,0,0.01483117,1,0,0,0,0,0.08268923,0,0,0,0,89,219,0,1.319974,3.248026,7,0.05106822,1,0.1815613,3.584,0.8682386,1,0,0.4248457,0.2585029,1,False,0.987637,2.7,0.03,1,250,fTemp,1.555,0.703346,5,2.7,0,0,0
2047.33,2047,5,1,0,0.01470723,1,0.07353617,0.001081513,10.78061,2.388439,0.1912619,8.392169,0.0274736,0.0211607,9.138103,89,219,0.1343962,1.308944,3.220884,7.637527,0.05422559,1,0.1459094,9.918,0.5688558,1,0.9209371,0.9567137,0.5991709,1,True,0.987637,2.7,0.03,1,250,fRad,1.555,1.496101,5,2.7,9.138103,0.2467288,0
2047.42,2047,6,1,0,0.01470723,1,0.07353617,0.001081513,10.99228,2.785421,0.2508853,8.206861,0.0318577,0.01860698,9.138103,91,223,0.1343962,1.338358,3.279713,14.29743,0.09955729,1,0.1094561,38.206,0.5582071,1,0.9209371,0.9995242,0.7875953,1,True,0.9875174,2.7,0.03,1,250,fRad,1.555,2.434834,5,2.7,9.138103,0.2467288,0
2047.5,2047,7,1,0,0.01497468,1,0.07487341,0.001121206,6.194837,3.653209,0.3250204,2.541627,0.02223094,0.01530034,9.303284,91,222,0.1393137,1.362696,3.324379,16.16384,0.1127243,0.6,0.09075756,103.978,0.5836281,1,0.9209371,0.9112456,1,1,True,0.9875174,2.7,0.03,1,250,fRad,1.555,3.707409,5,2.7,9.303284,0.2511887,0
2047.58,2047,8,1,0,0.01497468,1,0.07487341,0.001121206,3.980262,3.746365,0.3243433,0.2338968,0.01446031,0.01511344,9.303284,91,222,0.1393137,1.362696,3.324379,16.11912,0.1126403,0.44915,0.08499768,124.33,0.5528919,1,0.9209371,0.8902735,1,1,True,0.9875174,2.7,0.03,1,250,Too dry,1.555,5.032422,5,2.7,9.303284,0.2511887,0
2047.67,2047,9,1,0,0.01497468,1,0.07487341,0.001121206,8.124794,2.47648,0.1947931,5.648314,0.01959637,0.0227649,9.303284,91,222,0.1393137,1.362696,3.324379,21.1987,0.1484366,1,0.1173085,36.3,0.5012657,1,0.9209371,0.9677689,0.6018309,1,True,0.9875174,2.7,0.03,1,250,fRad,1.555,5.816662,5,2.7,9.303284,0.2511887,0
2047.75,2047,10,1,0,0.01497468,1,0.07487341,0.001121206,4.82243,1.76795,0.1143965,3.05448,0.008606892,0.03076441,9.303284,90,221,0.1393137,1.347721,3.309405,23.91561,0.1678003,1,0.1721121,4.636,0.4209718,1,0.9209371,0.7294604,0.3541763,1,True,0.9875174,2.7,0.03,1,250,fRad,1.555,6.35119,5,2.7,9.303284,0.2511887,0
