Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2112,2112,1,1,0,0.02736473,1,0,0,0,0,0.009080468,0,0,0,0,115,196,0,3.146944,5.363486,7,0.0507497,1,0.1839697,3.37,0.9467103,1,0,0,0.02821029,1,False,0.987637,1.723077,0.049,1,100,fTemp,1.555,0.2430701,5,1.723077,0,0,0
2112.08,2112,2,1,0,0.02736473,1,0,0,0,0,0.01648454,0,0,0,0,115,195,0,3.146944,5.336122,7,0.05085566,1,0.1839697,3.37,0.9718359,1,0,0,0.05131943,1,False,0.987637,1.723077,0.049,1,100,fTemp,1.555,0.5020247,5,1.723077,0,0,0
2112.17,2112,3,1,0,0.02736473,1,0,0,0,0,0.03050492,0,0,0,0,114,195,0,3.119579,5.336122,7,0.05096183,1,0.1839697,3.37,0.9882402,1,0,0,0.09516574,1,False,0.987637,1.723077,0.049,1,100,fTemp,1.555,0.9090031,5,1.723077,0,0,0
2112.25,2112,4,1,0,0.02736473,1,0,0,0,0,0.05613374,0,0,0,0,114,194,0,3.119579,5.308757,7,0.05106822,1,0.1819485,3.546,0.9936981,1,0,0.2867191,0.1754852,1,False,0.987637,1.723077,0.049,1,100,fTemp,1.555,1.234849,5,1.723077,0,0,0
2112.33,2112,5,1,0,0.02706262,0.02706262,0.135687,0.003672046,7.425309,0.7912353,0.1300963,6.634073,0.04497651,0.01638212,14.92557,114,194,0.403925,3.085139,5.250148,6.114302,0.04263231,1,0.1483945,9.306,0.9351218,1,0.9572746,0.8238611,0.4075558,1,True,0.987637,1.723077,0.049,1,100,fTemp,1.555,2.46593,5,1.723077,14.92557,0.257179,0
2112.42,2112,6,1,0,0.02706262,0.02706262,0.135687,0.003672046,8.217802,0.9236917,0.1705737,7.29411,0.05645524,0.01444418,14.92557,116,198,0.403925,3.139264,5.358399,12.05567,0.08247029,1,0.1016248,60.908,0.9297682,1,0.9572746,0.9238756,0.5354761,1,True,0.9875174,1.723077,0.049,1,100,fTemp,1.555,4.372345,5,1.723077,14.92557,0.257179,0
2112.5,2112,7,1,0,0.02706262,0.02706262,0.1381397,0.003738421,7.717074,1.212428,0.2388909,6.504646,0.06564517,0.01166517,15.19536,116,197,0.4112264,3.139264,5.331336,17.62554,0.1207137,0.8715,0.09768695,69.846,0.942039,1,0.9572746,0.9945486,0.735003,1,True,0.9875174,1.723077,0.049,1,100,fWater,1.555,6.928912,5,1.723077,15.19536,0.2618278,0
2112.58,2112,8,1,0,0.02706262,0.02706262,0.1381397,0.003738421,0.5120174,1.243402,0.2408414,-0.7313846,0.004330578,0.01173222,15.19536,116,197,0.4112264,3.139264,5.331336,16.85832,0.115689,0.06315003,0.08178741,147.002,0.926948,1,0.9572746,0.9971794,0.742551,1,True,0.9875174,1.723077,0.049,1,100,Too dry,1.555,9.453682,5,1.723077,15.19536,0.2618278,0
2112.67,2112,9,1,0,0.02706262,0.02706262,0.1381397,0.003738421,6.105741,0.8206497,0.1327617,5.285091,0.03428443,0.01767188,15.19536,115,197,0.4112264,3.112201,5.331336,21.716,0.1493212,1,0.1432581,11.24,0.8958075,1,0.9572746,0.8418599,0.4101794,1,True,0.9875174,1.723077,0.049,1,100,fTemp,1.555,11.67276,5,1.723077,15.19536,0.2618278,0
2112.75,2112,10,1,0,0.02706262,0.02706262,0.1381397,0.003738421,3.552433,0.5844229,0.07791392,2.96801,0.01476052,0.02388171,15.19536,115,196,0.4112264,3.112201,5.304274,24.43534,0.1683541,1,0.1578458,7.582,0.8307519,1,0.9572746,0.563579,0.2412246,1,True,0.9875174,1.723077,0.049,1,100,fTemp,1.555,14.20226,5,1.723077,15.19536,0.2618278,0
