Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,acerrubr,0.00516086,1,0.516086,3,False
1,acersacc,0.006722627,1,0.6722627,3,False
1,betualle,0.00436978,1,0.436978,3,False
1,betupapy,0.002816602,1,0.2816602,3,False
1,fagugran,0.006755142,1,0.6755142,3,False
1,picerube,0.009084454,1,0.9084454,3,False
1,pinustro,0.004286605,1,0.4286605,3,False
1,popugran,0.003304291,1,0.3304291,3,False
1,querrubr,0.004333839,1,0.4333839,3,False
1,tsugcana,0.006989505,1,0.6989505,3,False
2,acerrubr,0.004256287,1,0.4256287,3,False
2,acersacc,0.005710243,1,0.5710244,3,False
2,betualle,0.003535703,1,0.3535703,3,False
2,betupapy,0.002531992,1,0.2531992,3,False
2,fagugran,0.005737862,1,0.5737862,3,False
2,picerube,0.008403482,1,0.8403482,3,False
2,pinustro,0.003876597,1,0.3876597,3,False
2,popugran,0.002957907,1,0.2957907,3,False
2,querrubr,0.003506623,1,0.3506623,3,False
2,tsugcana,0.00593693,1,0.593693,3,False
3,acerrubr,0.005312388,1,0.5312388,3,False
3,acersacc,0.006888003,1,0.6888003,3,True
3,betualle,0.004511628,1,0.4511628,3,False
3,betupapy,0.002913998,1,0.2913997,3,False
3,fagugran,0.006921318,1,0.6921318,3,False
3,picerube,0.00930793,1,0.930793,3,False
3,pinustro,0.004425753,1,0.4425754,3,False
3,popugran,0.003423506,1,0.3423506,3,False
3,querrubr,0.004474522,1,0.4474522,3,False
3,tsugcana,0.007161445,1,0.7161446,3,False
4,acerrubr,0.00416247,1,0.416247,3,False
4,acersacc,0.005588758,1,0.5588759,3,False
4,betualle,0.003456968,1,0.3456968,3,False
4,betupapy,0.00219936,1,0.219936,3,False
4,fagugran,0.005615789,1,0.5615789,3,False
4,picerube,0.007552228,1,0.7552228,3,False
4,pinustro,0.003391167,1,0.3391167,3,False
4,popugran,0.002556633,1,0.2556633,3,False
4,querrubr,0.003428535,1,0.3428535,3,False
4,tsugcana,0.005810623,1,0.5810623,3,False
5,acerrubr,0.005139374,1,0.5139374,3,False
5,acersacc,0.006699536,1,0.6699536,3,False
5,betualle,0.004349491,1,0.4349491,3,False
5,betupapy,0.002802597,1,0.2802597,3,False
5,fagugran,0.00673194,1,0.673194,3,False
5,picerube,0.00905325,1,0.905325,3,False
5,pinustro,0.004266702,1,0.4266702,3,False
5,popugran,0.003287086,1,0.3287086,3,False
5,querrubr,0.004313718,1,0.4313718,3,False
5,tsugcana,0.006965497,1,0.6965497,3,False
6,acerrubr,0.003902509,1,0.3902509,3,False
6,acersacc,0.005277253,1,0.5277253,3,False
6,betualle,0.003226633,1,0.3226633,3,False
6,betupapy,0.002321661,1,0.2321661,3,False
6,fagugran,0.005302777,1,0.5302777,3,False
6,picerube,0.007901979,1,0.7901978,3,False
6,pinustro,0.003165216,1,0.3165216,3,False
6,popugran,0.002701803,1,0.2701803,3,False
6,querrubr,0.003200095,1,0.3200095,3,False
6,tsugcana,0.005486751,1,0.5486751,3,False
7,acerrubr,0.004494855,1,0.4494855,3,False
7,acersacc,0.005966821,1,0.5966821,3,False
7,betualle,0.003760707,1,0.3760707,3,False
7,betupapy,0.002404713,1,0.2404713,3,False
7,fagugran,0.005995681,1,0.5995681,3,False
7,picerube,0.00906909,1,0.906909,3,False
7,pinustro,0.003689126,1,0.3689126,3,False
7,popugran,0.002805364,1,0.2805364,3,False
7,querrubr,0.003729777,1,0.3729777,3,False
7,tsugcana,0.006203694,1,0.6203694,3,False
8,acerrubr,0.004450352,1,0.4450352,3,False
8,acersacc,0.005920216,1,0.5920216,3,False
8,betualle,0.003718032,1,0.3718032,3,False
8,betupapy,0.002374957,1,0.2374957,3,False
8,fagugran,0.005948851,1,0.5948851,3,False
8,picerube,0.008000135,1,0.8000136,3,False
8,pinustro,0.003647263,1,0.3647263,3,False
8,popugran,0.002768559,1,0.2768559,3,False
8,querrubr,0.003687453,1,0.3687453,3,False
8,tsugcana,0.00615524,1,0.615524,3,False
9,acerrubr,0.005400175,1,0.5400175,3,False
9,acersacc,0.006973121,1,0.6973121,3,False
9,betualle,0.004599418,1,0.4599419,3,False
9,betupapy,0.002976817,1,0.2976817,3,False
9,fagugran,0.007006848,1,0.7006848,3,False
9,picerube,0.009326661,1,0.9326661,3,False
9,pinustro,0.004511873,1,0.4511873,3,False
9,popugran,0.003502554,1,0.3502554,3,False
9,querrubr,0.00456159,1,0.456159,3,False
9,tsugcana,0.007249942,1,0.7249942,3,False
10,acerrubr,0.004332157,1,0.4332157,3,False
10,acersacc,0.005798325,1,0.5798326,3,False
10,betualle,0.003604119,1,0.3604119,3,False
10,betupapy,0.002295384,1,0.2295384,3,False
10,fagugran,0.00582637,1,0.582637,3,False
10,picerube,0.007835421,1,0.7835421,3,False
10,pinustro,0.003535518,1,0.3535518,3,False
10,popugran,0.00267007,1,0.267007,3,False
10,querrubr,0.003574476,1,0.3574477,3,False
10,tsugcana,0.006028509,1,0.6028509,3,False
11,acerrubr,0.004933177,1,0.4933177,3,False
11,acersacc,0.006472778,1,0.6472778,3,False
11,betualle,0.004157368,1,0.4157368,3,False
11,betupapy,0.002671092,1,0.2671092,3,False
11,fagugran,0.006504085,1,0.6504085,3,False
11,picerube,0.008746826,1,0.8746826,3,False
11,pinustro,0.004078236,1,0.4078236,3,False
